character,codepoint,unicode_name,unicode_category,unicode_block,production_occurrences,resource_classes,sample_contexts,classification,JPN-0007,JPN-000E,JPN-001C,JPN-00C7,MLG-0007,MLG-000E
谬,U+8C2C,CJK UNIFIED IDEOGRAPH-8C2C,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_07A0B0#2: 这太荒谬了。辐射会累积，暴露得越多，风险只会越高。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
谱,U+8C31,CJK UNIFIED IDEOGRAPH-8C31,Lo,CJK Unified Ideographs,66,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,LOOSE_OLANG/0066E64E#3654: 系谱跳转（用于“开发状况”“新品”标签页） || LOOSE_OLANG/0066E64E#3705: 系谱跳转（用于“开发状况”“新品”标签页） || LOOSE_OLANG/007E2F18#4561: 系谱跳转（用于“开发状况”“新品”标签页） || LOOSE_OLANG/007E2F18#4612: 系谱跳转（用于“开发状况”“新品”标签页） || STAGEDAT_OLANG/LANG_DATAINSTALL.OLANG#7608: 乐谱数据METALGEARSOLIDPEACEWALKER游玩时使用的数据。删除时请注意。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
谴,U+8C34,CJK UNIFIED IDEOGRAPH-8C34,Lo,CJK Unified Ideographs,2,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_004F80#5: 话虽如此，这项条约已经有20多个国家批准。要是公然践踏，必然会遭到国际社会谴责。 || BRIEFING/BRIEFING_FILES_BLOCK_0716A0#14: 是啊。不过吸烟迟早会在全世界受到谴责，因为既伤害自己，也伤害别人。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
谷,U+8C37,CJK UNIFIED IDEOGRAPH-8C37,Lo,CJK Unified Ideographs,28,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#160: 把他工作时一副很闲的照片公开出去，让他的评价跌到谷底。 || YPK_GTT/1C79F2ED#23: 往北边的溪谷走。 || YPK_GTT/1C7A72ED#93: 前往北边的山谷溪流。 || YPK_GTT/1C7CF2ED#25: 前往北边的峡谷。 || LOOSE_OLANG/007E2F18#5294: 河谷,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
豆,U+8C46,CJK UNIFIED IDEOGRAPH-8C46,Lo,CJK Unified Ideographs,10,BRIEFING | STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_MYOUTER_STAFF_COMMENT.OLANG#19732: “刚才闻到黑豆饭的香味了。会作为餐食供应吗？” || BRIEFING/BRIEFING_FILES_BLOCK_023940#7: 好像是被商家收购以后，就会和其他国家的咖啡豆混在一起…… || BRIEFING/BRIEFING_FILES_BLOCK_023940#8: 明明能产出这么好的豆子，却没人知道它们来自哥斯达黎加，真让人不甘心。 || BRIEFING/BRIEFING_FILES_BLOCK_02B420#1: 明明以前还以出产优质咖啡豆闻名…… || BRIEFING/BRIEFING_FILES_BLOCK_035C60#1: 大约半年前。在那之前，我们只能吃豆子，后来突然开始有人送来鸡蛋和面粉，弹药也不再短缺了。,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
象,U+8C61,CJK UNIFIED IDEOGRAPH-8C61,Lo,CJK Unified Ideographs,153,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C7C72ED#31: 呼——！这造型真厉害。动作比想象中还强…啊，抱歉。 || LOOSE_OLANG/005184E3#3215: 请选择交易对象。 || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#6912: sbm119/从敌兵手中防卫据点（可破坏对象）× || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#6913: sbm119/从敌兵手中防卫据点（可破坏对象）× || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#6914: sbm119内容/从敌兵手中防卫据点（可破坏对象）实装状态：×,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
豪,U+8C6A,CJK UNIFIED IDEOGRAPH-8C6A,Lo,CJK Unified Ideographs,7,BRIEFING | SLOT_OLANG | STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_MYOUTER_STAFF_COMMENT.OLANG#19636: “能得到Boss的认可并留在这里，我感到很自豪！” || SLOT_OLANG/5D4C49A2#36127: 能得到Boss认可、站在这里，我感到很自豪！ || SLOT_OLANG/5D4C49A2#36483: 能得到Boss认可、站在这里，我感到很自豪！ || SLOT_OLANG/5D4C49A2#36839: 能得到Boss认可、站在这里，我感到很自豪！ || SLOT_OLANG/5D4C49A2#37195: 能得到Boss认可、站在这里，我感到很自豪！,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
豫,U+8C6B,CJK UNIFIED IDEOGRAPH-8C6B,Lo,CJK Unified Ideographs,10,BRIEFING | SLOT_OLANG | YPK_GTT,YPK_GTT/1C7A73ED#39: 专心战斗！犹豫就会没命。 || SLOT_OLANG/5D3AFDED#34416: 正因为犹豫迟疑的人类参与其中，‘威慑理论’这种博弈才得以成立，不是吗？ || SLOT_OLANG/5D3AFDED#34418: AI会毫不犹豫地发射核武器？ || SLOT_OLANG/5DEDCB1E#90805: 一种最新型单兵便携式反坦克导弹，最近才刚刚进入美军服役。发射筒为一次性设计，只能发射一发。M47采用光学有线制导系统，具有出色的寻的能力。其弹头也是同类中威力最强的之一，几乎能把任何目标炸成碎片。如果你觉得敌人很难对付，别犹豫，带上M47吧。 || BRIEFING/BRIEFING_FILES_BLOCK_01A9F0#2: 谨慎前进。有必要的话，也别犹豫使用火器。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
豺,U+8C7A,CJK UNIFIED IDEOGRAPH-8C7A,Lo,CJK Unified Ideographs,4,BRIEFING | LOOSE_OLANG | SLOT_OLANG,LOOSE_OLANG/007E2F18#5208: ●《豺狼的日子》 || SLOT_OLANG/5DDD0EA8#89758: ●《豺狼的日子》 || BRIEFING/BRIEFING_FILES_BLOCK_060450#0: 说到阿尔及利亚独立战争，你知道《豺狼的日子》吗？ || BRIEFING/BRIEFING_FILES_BLOCK_060450#2: 秘密军事组织OAS企图暗杀戴高乐总统，雇用了一个叫“豺狼”的狙击手……。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
贝,U+8D1D,CJK UNIFIED IDEOGRAPH-8D1D,Lo,CJK Unified Ideographs,75,BRIEFING | SLOT_OLANG | STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_DEMOTELOP.OLANG#6042: 格罗兹尼格勒罗科沃伊贝雷格 || STAGEDAT_OLANG/LANG_DEMOTELOP.OLANG#6240: 格罗兹尼格勒罗科沃伊贝雷格 || STAGEDAT_OLANG/LANG_DEMOTELOP.OLANG#6282: 格罗兹尼格勒罗科沃伊贝雷格 || STAGEDAT_OLANG/LANG_DEMOTELOP.OLANG#6502: 格罗兹尼格勒罗科沃伊贝雷格 || STAGEDAT_OLANG/LANG_DEMOTELOP.OLANG#7642: 格罗兹尼格勒罗科沃伊贝雷格,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
贞,U+8D1E,CJK UNIFIED IDEOGRAPH-8D1E,Lo,CJK Unified Ideographs,1,SLOT_OLANG,SLOT_OLANG/5D3B054D#34961: 简直就像圣女贞德。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
负,U+8D1F,CJK UNIFIED IDEOGRAPH-8D1F,Lo,CJK Unified Ideographs,268,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,"YPK_GTT/1C79F46D#37: 这不是胜负。活下来的人继承一切。 || LOOSE_OLANG/007E2F18#4321: 一个人不可能独自背负人类这个物种的终结。正因如此，胆怯的人类才在这数千年间存活下来。 || LOOSE_OLANG/00D0C740#5896: 一个人不可能独自背负人类这个物种的终结。正因如此，胆怯的人类才在这数千年间存活下来。 || STAGEDAT_OLANG/LANG_MISSION_INFO.OLANG#6908: 在尼加拉瓜美军导弹基地，用富尔顿回收营救美军士兵。他遭到苏联制压部队袭击并负伤。时间限制：04'00""（直到美军士兵死亡。被敌人发现进入警报状态时-00'30""）必要装备品：富尔顿回收装置目标数：1 || STAGEDAT_OLANG/LANG_MYOUTER_STAFF.OLANG#9757: “粮食班”负责管理整个MotherBase的粮食。",CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
贡,U+8D21,CJK UNIFIED IDEOGRAPH-8D21,Lo,CJK Unified Ideographs,5,SLOT_OLANG | STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_MYOUTER_STAFF_COMMENT.OLANG#19676: “遗憾的是，对科学技术发展贡献最大的，正是‘战争’。” || SLOT_OLANG/5D4C49A2#36167: 很遗憾，对科学技术发展贡献最大的，正是『战争』。 || SLOT_OLANG/5D4C49A2#36523: 很遗憾，对科学技术发展贡献最大的，正是『战争』。 || SLOT_OLANG/5D4C49A2#36879: 很遗憾，对科学技术发展贡献最大的，正是『战争』。 || SLOT_OLANG/5D4C49A2#37235: 很遗憾，对科学技术发展贡献最大的，正是『战争』。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
财,U+8D22,CJK UNIFIED IDEOGRAPH-8D22,Lo,CJK Unified Ideographs,4,BRIEFING | STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_MYOUTER_UTIL.OLANG#10198: GMP（财力）不足。将无法开发和生产武器、道具，以及修理大型兵器。确定要继续吗？（将人员编入实战部队，提高GMP即可解决此问题。） || BRIEFING/BRIEFING_FILES_BLOCK_003960#1: 把东西方一分为二的意识形态对立，说到底也不过是统治阶级之间争夺财富吧。 || BRIEFING/BRIEFING_FILES_BLOCK_003960#2: 对西方的有钱人BOURGEOIS来说，要是国家共产主义化可就麻烦了。毕竟共产主义本来就否定私有财产。 || BRIEFING/BRIEFING_FILES_BLOCK_02FE70#9: 他们没收别人的土地，变成家族的财产。如今全国近一半的农地都落到了索摩查一家手里。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
责,U+8D23,CJK UNIFIED IDEOGRAPH-8D23,Lo,CJK Unified Ideographs,108,BRIEFING | SLOT_OLANG | STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_MYOUTER_STAFF.OLANG#9757: “粮食班”负责管理整个MotherBase的粮食。 || STAGEDAT_OLANG/LANG_MYOUTER_TOP.OLANG#10090: “情报班”负责为任务提供物资支援或炮击支援。 || STAGEDAT_OLANG/LANG_GAMEOVER.OLANG#13392: 各班负责灭火！可恶，来不及了……！呜啊——！ || STAGEDAT_OLANG/LANG_GAMEOVER.OLANG#14068: 各班负责灭火！可恶，来不及了……！呜啊——！ || STAGEDAT_OLANG/LANG_MYOUTER_STAFF.OLANG#19327: “粮食班”负责管理整个MotherBase的粮食。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
贤,U+8D24,CJK UNIFIED IDEOGRAPH-8D24,Lo,CJK Unified Ideographs,25,BRIEFING | SLOT_OLANG | YPK_GTT,YPK_GTT/1C79F46D#36: 世界应该合而为一。让“贤者们”再次统一。我会将自己的技术投入其中。 || SLOT_OLANG/5D2088CC#29981: 是「贤者的遗产」吗…？ || SLOT_OLANG/5D2088CC#30001: 在食蛇者行动中CIA从苏联夺走的「贤者的遗产」只有一半 || BRIEFING/BRIEFING_FILES_BLOCK_088F20#24: 美国政府为了得到“贤者的遗产”，上演了一出大戏。 || BRIEFING/BRIEFING_FILES_BLOCK_088F20#29: 查明“贤者的遗产”所在之处，是她最重要的任务。,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
败,U+8D25,CJK UNIFIED IDEOGRAPH-8D25,Lo,CJK Unified Ideographs,800,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#60: 够了，太迟了……同伴死了……任务失败。 || YPK_GTT/1C0FB26B#92: 目标特工死亡，任务失败……返回基地。 || YPK_GTT/1C0FB26B#94: 失败……脱靶太多了。瞄准得更准一点！ || YPK_GTT/1C0FB26B#173: 跑掉了……作战失败…… || LOOSE_OLANG/0043DA6E#3145: 房间搜索失败。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
账,U+8D26,CJK UNIFIED IDEOGRAPH-8D26,Lo,CJK Unified Ideographs,55,LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,LOOSE_OLANG/007E2F18#4300: 当前账号无法使用在线多人游戏。 || LOOSE_OLANG/007E2F18#4330: 当前账号不允许进行在线多人游戏。 || STAGEDAT_OLANG/LANG_HTTP_ERROR.OLANG#6066: 你的PlayStation®Network账户设置了家长锁，因此无法使用在线服务。 || STAGEDAT_OLANG/LANG_HTTP_ERROR.OLANG#6306: 你的PlayStation®Network账户设置了家长锁，因此无法使用在线服务。 || STAGEDAT_OLANG/LANG_HTTP_ERROR.OLANG#7809: 你的PlayStation®Network账户设置了家长锁，因此无法使用在线服务。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
货,U+8D27,CJK UNIFIED IDEOGRAPH-8D27,Lo,CJK Unified Ideographs,115,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#260: 找的是装着核弹头的卡车。当时我们检查了那些显眼卡车的货厢。 || YPK_GTT/1C0FB26B#261: Zadornov就在卡车货厢里。八九不离十。 || YPK_GTT/1C79F2ED#6: 再往前就是铁路货运站TERMINAL。 || YPK_GTT/1C79F2ED#17: 货物应该正运往绞刑台镇的铁路货运站TERMINAL。 || YPK_GTT/1C79F2ED#18: 铁路货运站TERMINAL似乎就在绞刑台镇。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
质,U+8D28,CJK UNIFIED IDEOGRAPH-8D28,Lo,CJK Unified Ideographs,40,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,LOOSE_OLANG/00D345A5#5935: 高品质旁轴取景相机。装备后可通过取景器观察，按释放快门。 || STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#7833: 高品质测距相机。装备后可通过取景器观察，按释放快门。拍摄的照片可从XMB中查看。 || STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#8044: 将雄火龙的优质翅膀完整切下所得的素材。其雄伟姿态无愧于天空王者。 || STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#15538: 高品质测距相机。装备后可通过取景器观察，按释放快门。拍摄的照片可从XMB中查看。 || STAGEDAT_OLANG/LANG_ITEM_TEXT.OLANG#15749: 将雄火龙的优质翅膀完整切下所得的素材。其雄伟姿态无愧于天空王者。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
贩,U+8D29,CJK UNIFIED IDEOGRAPH-8D29,Lo,CJK Unified Ideographs,5,BRIEFING | SLOT_OLANG,SLOT_OLANG/5D3AF54D#33316: 一旦在何处哪里安顿下来，我们也可能变成那种战争贩子。 || BRIEFING/BRIEFING_FILES_BLOCK_004590#8: ……我们可不是战争贩子。 || BRIEFING/BRIEFING_FILES_BLOCK_032C30#3: ……你居然知道我们SANDINISTA被叫作“西瓜贩子”。 || BRIEFING/BRIEFING_FILES_BLOCK_032C30#9: 我们SANDINISTA之所以被叫作西瓜贩子，是因为将军的名字Sandino和西瓜sandía这个词很像。 || BRIEFING/BRIEFING_MISSION_BLOCK_3705D0#6: 那个人贩子气球到底是什么鬼！,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
贫,U+8D2B,CJK UNIFIED IDEOGRAPH-8D2B,Lo,CJK Unified Ideographs,3,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_00E980#66: 我不想因为国家的缘故去死，也不愿贫穷地活着。 || BRIEFING/BRIEFING_FILES_BLOCK_024CA0#5: 当时的哥斯达黎加很贫穷，也没什么资源。我想，军备和教育只能优先选择其中一方。 || BRIEFING/BRIEFING_FILES_BLOCK_05F2C0#8: 所以对贫穷国家的人来说，它也是很大的救济。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
贬,U+8D2C,CJK UNIFIED IDEOGRAPH-8D2C,Lo,CJK Unified Ideographs,2,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_00DDC0#8: 自卫队的专守防卫，作为国家战略的一种形式，也许是可行的。我也无意贬低遵从它的同僚。 || BRIEFING/BRIEFING_FILES_BLOCK_056170#8: 还有！他动不动就贬低自己，三句话不离“像我这种人……”。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
购,U+8D2D,CJK UNIFIED IDEOGRAPH-8D2D,Lo,CJK Unified Ideographs,3,BRIEFING | SLOT_OLANG,SLOT_OLANG/5D3AF92D#33648: 用那笔收入购买食物和武器…… || SLOT_OLANG/5D3AFDED#34432: 可用金钱购买的威慑力量，‘无国界军队’。这也是一种新体系。 || BRIEFING/BRIEFING_FILES_BLOCK_023940#7: 好像是被商家收购以后，就会和其他国家的咖啡豆混在一起……,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
贯,U+8D2F,CJK UNIFIED IDEOGRAPH-8D2F,Lo,CJK Unified Ideographs,58,BRIEFING | SLOT_OLANG | STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_WEAPON_TEXT.OLANG#10925: 大口径反坦克步枪。单发式。主观倍率可在3档之间切换。发射能轻易贯穿厚重金属板的高威力弹。 || STAGEDAT_OLANG/LANG_WEAPON_TEXT.OLANG#10926: 大口径反坦克步枪。单发式。主观倍率可在3档之间切换。发射能轻易贯穿厚重金属板的高威力弹。 || STAGEDAT_OLANG/LANG_WEAPON_TEXT.OLANG#10934: 苏联制大口径自动狙击步枪。使用穿甲弹，可以贯穿头盔。主观倍率可在3档之间切换。 || STAGEDAT_OLANG/LANG_WEAPON_TEXT.OLANG#20920: 大口径反坦克步枪。单发式。主观倍率可在3档之间切换。发射能轻易贯穿厚重金属板的高威力弹。 || STAGEDAT_OLANG/LANG_WEAPON_TEXT.OLANG#20921: 大口径反坦克步枪。单发式。主观倍率可在3档之间切换。发射能轻易贯穿厚重金属板的高威力弹。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
贴,U+8D34,CJK UNIFIED IDEOGRAPH-8D34,Lo,CJK Unified Ideographs,38,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C7679A5#193: 贴墙时按，可以敲墙吸引敌人注意。 || YPK_GTT/1C7679A5#194: 贴墙时按，可以敲墙吸引敌人注意。 || YPK_GTT/1C7679A5#195: 贴墙时按，可以敲墙吸引敌人注意。 || YPK_GTT/1C7679A5#196: 贴墙时按，可以敲墙吸引敌人注意。 || YPK_GTT/1C7A72AD#26: 要贴住墙壁，面向墙壁按。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
贵,U+8D35,CJK UNIFIED IDEOGRAPH-8D35,Lo,CJK Unified Ideographs,17,BRIEFING | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#168: 箱子里装着贵重物资。一定要守住！ || YPK_GTT/1C79F2AD#49: 麻醉弹很珍贵，别浪费。 || STAGEDAT_OLANG/LANG_MYOUTER_DEVELOP.OLANG#9511: 可查看任务中获得的贵重物品、补给用弹药以及持有的服装等。 || STAGEDAT_OLANG/LANG_MYOUTER_DEVELOP.OLANG#18471: 可查看任务中获得的贵重物品、补给用弹药以及持有的服装等。 || SLOT_OLANG/5D3AFD2D#34315: 如果你还能再次夺走那高贵的灵魂……,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
贸,U+8D38,CJK UNIFIED IDEOGRAPH-8D38,Lo,CJK Unified Ideographs,3,BRIEFING | YPK_GTT,YPK_GTT/1C7BF32D#20: 现在贸然攻击太危险了。专心防御！ || BRIEFING/BRIEFING_FILES_BLOCK_02B930#9: 铁路的经营者不但完成了工程，后来甚至还开办了香蕉贸易公司。 || BRIEFING/BRIEFING_FILES_BLOCK_07CA30#20: 高层判断，一旦贸然公布，就会伤及国家威信。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
费,U+8D39,CJK UNIFIED IDEOGRAPH-8D39,Lo,CJK Unified Ideographs,81,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#162: 你在拍什么？浪费胶卷。 || YPK_GTT/1C7679A5#29: 在没有大型兵器的区域AREA使用电磁网也是白费。 || YPK_GTT/1C79F2AD#20: 别打了，Boss。浪费子弹。 || YPK_GTT/1C79F2AD#49: 麻醉弹很珍贵，别浪费。 || LOOSE_OLANG/007E2F18#4979: AXE香氛身体喷雾AXE是全球大型消费品制造商Unilever在世界各地推出的男性护理品牌。AXE香氛身体喷雾只需轻轻旋转瓶身并喷洒，即可轻松享受由知名调香师打造的正统香氛。采用淡香喷雾形式，不必担心喷得过多，无论什么场合都能让你保持酷劲。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
贺,U+8D3A,CJK UNIFIED IDEOGRAPH-8D3A,Lo,CJK Unified Ideographs,2,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_00E980#2: 我母亲在这场空袭中失去了家人和家园。于是她投奔住在横须贺的表姐，搬到了那里。 || BRIEFING/BRIEFING_FILES_BLOCK_00E980#5: 从那以后，横须贺挤满了占领军的美国士兵。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
贼,U+8D3C,CJK UNIFIED IDEOGRAPH-8D3C,Lo,CJK Unified Ideographs,8,BRIEFING | LOOSE_OLANG | SLOT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#229: 让所有盗贼失去战斗能力。 || LOOSE_OLANG/007E2F18#4326: 我确实想在革命成功后把国家变得和平。但要带来和平，首先得清除卖国贼。 || LOOSE_OLANG/00D0C740#5914: 我确实想在革命成功后把国家变得和平。但要带来和平，首先得清除卖国贼。 || SLOT_OLANG/5D3B022D#34692: 在美国作为无耻的卖国贼… || BRIEFING/BRIEFING_FILES_BLOCK_0331A0#3: 但要带来和平，首先就必须清除那些卖国贼。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
资,U+8D44,CJK UNIFIED IDEOGRAPH-8D44,Lo,CJK Unified Ideographs,368,BRIEFING | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,YPK_GTT/1C0FB26B#110: 避开敌人的视线回收物资。别迷路。 || YPK_GTT/1C0FB26B#117: 摧毁敌人的物资。使用C4炸弹！ || YPK_GTT/1C0FB26B#119: 用C4把敌人的物资炸飞！ || YPK_GTT/1C0FB26B#131: 射击目标。最终目的是夺取物资，明白吗？ || YPK_GTT/1C0FB26B#132: 携带目标物资的人外观和其他敌兵不同。仔细找。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
赋,U+8D4B,CJK UNIFIED IDEOGRAPH-8D4B,Lo,CJK Unified Ideographs,17,BRIEFING | SLOT_OLANG,SLOT_OLANG/5D3AFD2D#34236: 你为了任务赋予的权力，杀死了真正的英雄。 || SLOT_OLANG/5D3B022D#34686: 那是赋予她的职责 || SLOT_OLANG/5DDB94DF#88845: 姓名、年龄、计划，全都是CIPHERCIPHER赋予的。 || SLOT_OLANG/5DDB94DF#89029: 姓名、年龄、计划，全都是CIPHERCIPHER赋予的。 || SLOT_OLANG/5DDB94DF#89213: 姓名、年龄、计划，全都是CIPHERCIPHER赋予的。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
赌,U+8D4C,CJK UNIFIED IDEOGRAPH-8D4C,Lo,CJK Unified Ideographs,14,BRIEFING | SLOT_OLANG | STAGEDAT_OLANG,STAGEDAT_OLANG/LANG_MYOUTER_STAFF_COMMENT.OLANG#19452: “……我被以前待过的军队、被国家背叛了。喂，到底有什么值得你赌上性命？” || STAGEDAT_OLANG/LANG_MYOUTER_STAFF_COMMENT.OLANG#19769: “我父亲参与过曼哈顿计划。他赌上一生的研究孕育出的，是名为‘威慑’的虚幻和平体系。以及……无法行走的我。所以我只能直面核武器。” || SLOT_OLANG/5D3AF9CD#33991: 他赌上一生的研究成果……只是名为威慑的虚幻和平体系。 || SLOT_OLANG/5D4C49A2#35943: ……我被以前待过的军队、被国家背叛了。喂，你愿意把命赌在什么上？ || SLOT_OLANG/5D4C49A2#36260: 我父亲参加过曼哈顿计划。他赌上一生的研究所诞生的是……名为“威慑”的虚幻和平体系。还有……无法行走的我。我只能直面核武器。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
赎,U+8D4E,CJK UNIFIED IDEOGRAPH-8D4E,Lo,CJK Unified Ideographs,1,BRIEFING,BRIEFING/BRIEFING_FILES_BLOCK_07CA30#50: 也许她是想用死亡来赎罪。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
赏,U+8D4F,CJK UNIFIED IDEOGRAPH-8D4F,Lo,CJK Unified Ideographs,3,BRIEFING | SLOT_OLANG,SLOT_OLANG/5D904CFF#62563: 嗨，好久不见。抱歉突然给你写信。你看，最近我发通信，你都不肯接，不是吗……？是不是我说了什么惹你生气的话？如果是，我向你道歉。可是，我有些话无论如何都想告诉你……所以才写了这封信……当然，我知道现在不是说这些的时候。但我真的对那个……你的……研究很感兴趣……说起来，舱体的研究还顺利吗？我写的那个连接两个AI的程序，希… || BRIEFING/BRIEFING_FILES_BLOCK_02C230#5: 那就留到作战成功以后再慢慢欣赏吧。这样可以吧？,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
赐,U+8D50,CJK UNIFIED IDEOGRAPH-8D50,Lo,CJK Unified Ideographs,10,BRIEFING | SLOT_OLANG,SLOT_OLANG/5DEDCB1E#90774: 一种点燃后释放烟雾的榴弹，不会造成物理伤害。烟雾会遮蔽敌人视线，在需要迅速脱离视野时堪称天赐之物。切记，烟雾同样会使使用者难以看清。 || SLOT_OLANG/5DEDCB1E#90775: 一种点燃后释放烟雾的榴弹，不会造成物理伤害。烟雾会遮蔽敌人视线，在需要迅速脱离视野时堪称天赐之物。切记，烟雾同样会使使用者难以看清。 || SLOT_OLANG/5DEDCB1E#90776: 一种点燃后释放烟雾的榴弹，不会造成物理伤害。烟雾会遮蔽敌人视线，在需要迅速脱离视野时堪称天赐之物。切记，烟雾同样会使使用者难以看清。 || SLOT_OLANG/5DEDCB1E#90777: 一种点燃后释放烟雾的榴弹，不会造成物理伤害。烟雾会遮蔽敌人视线，在需要迅速脱离视野时堪称天赐之物。切记，烟雾同样会使使用者难以看清。 || SLOT_OLANG/5DEDCB1E#90778: 一种点燃后释放烟雾的榴弹，不会造成物理伤害。烟雾会遮蔽敌人视线，在需要迅速脱离视野时堪称天赐之物。切记，烟雾同样会使使用者难以看清。,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
赖,U+8D56,CJK UNIFIED IDEOGRAPH-8D56,Lo,CJK Unified Ideographs,55,BRIEFING | SLOT_OLANG,SLOT_OLANG/5D3AF52D#33231: 听说你们不受国家或思想依赖RELY，会与任何敌人作战。 || SLOT_OLANG/5D3AF5CD#33455: 我不依赖长焦 || SLOT_OLANG/5D3AF5CD#33534: 我不依赖长焦 || SLOT_OLANG/5D81443C#52691: 这条件…不赖吧？嘿嘿… || SLOT_OLANG/5D81443C#52931: 这条件…不赖吧？嘿嘿…,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
