character,codepoint,production_occurrences,classification,JPN-0007,JPN-000E,JPN-001C,JPN-00C7,MLG-0007,MLG-000E
引,U+5F15,224,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
弗,U+5F17,5,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
弟,U+5F1F,59,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
张,U+5F20,48,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
弥,U+5F25,13,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
弧,U+5F27,6,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
弯,U+5F2F,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
弱,U+5F31,151,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
弹,U+5F39,4179,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
强,U+5F3A,1119,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
归,U+5F52,45,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
当,U+5F53,763,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
录,U+5F55,146,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
形,U+5F62,308,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
彩,U+5F69,950,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
彰,U+5F70,7,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
影,U+5F71,161,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
役,U+5F79,11,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
彻,U+5F7B,40,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
彼,U+5F7C,30,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
往,U+5F80,599,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
征,U+5F81,12,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
径,U+5F84,339,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
待,U+5F85,367,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
很,U+5F88,1318,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
徊,U+5F8A,12,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
律,U+5F8B,10,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
徒,U+5F92,45,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
得,U+5F97,1997,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
徘,U+5F98,12,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
徙,U+5F99,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
御,U+5FA1,307,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
循,U+5FAA,8,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
微,U+5FAE,51,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
德,U+5FB7,60,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
徽,U+5FBD,2,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
心,U+5FC3,841,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
必,U+5FC5,394,CN_ALREADY_COVERED,YES,NO,YES,YES,YES,YES
忆,U+5FC6,156,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
忍,U+5FCD,19,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
忏,U+5FCF,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
志,U+5FD7,566,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
忘,U+5FD8,47,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
忙,U+5FD9,124,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
忠,U+5FE0,51,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
忧,U+5FE7,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
快,U+5FEB,569,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
念,U+5FF5,35,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
忽,U+5FFD,6,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
怀,U+6000,21,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
态,U+6001,1110,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
怎,U+600E,1006,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
怒,U+6012,12,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
怔,U+6014,1,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
怕,U+6015,191,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
怖,U+6016,16,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
怜,U+601C,2,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
思,U+601D,137,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
急,U+6025,113,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
性,U+6027,1015,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
怨,U+6028,9,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
怪,U+602A,238,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
怯,U+602F,2,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
总,U+603B,709,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
恋,U+604B,83,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
恐,U+6050,154,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
恒,U+6052,2,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
恙,U+6059,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
恢,U+6062,895,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
恤,U+6064,144,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
恨,U+6068,9,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
恩,U+6069,13,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
恬,U+606C,1,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
恭,U+606D,2,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
息,U+606F,376,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
恰,U+6070,29,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
恶,U+6076,266,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
恼,U+607C,4,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
悄,U+6084,81,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
悉,U+6089,55,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
悍,U+608D,2,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
悔,U+6094,84,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
悟,U+609F,10,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
悠,U+60A0,13,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
患,U+60A3,3,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
悦,U+60A6,4,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
您,U+60A8,97,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
悬,U+60AC,31,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
悲,U+60B2,9,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
悼,U+60BC,1,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
情,U+60C5,818,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
惊,U+60CA,59,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
惑,U+60D1,2,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
惕,U+60D5,6,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
惘,U+60D8,1,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
惜,U+60DC,22,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
惠,U+60E0,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
惧,U+60E7,13,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
惨,U+60E8,13,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
惩,U+60E9,52,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
惫,U+60EB,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
惬,U+60EC,1,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
惯,U+60EF,33,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
惰,U+60F0,1,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
想,U+60F3,1410,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
惹,U+60F9,9,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
愁,U+6101,8,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
愈,U+6108,2,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
愉,U+6109,2,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
意,U+610F,715,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
愚,U+611A,6,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
感,U+611F,506,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
愤,U+6124,7,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
愧,U+6127,133,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
愿,U+613F,209,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
慈,U+6148,1,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
慌,U+614C,13,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
慎,U+614E,18,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
慑,U+6151,103,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
慕,U+6155,3,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
慢,U+6162,216,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
慧,U+6167,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
慨,U+6168,3,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
慰,U+6170,2,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
慷,U+6177,3,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
憎,U+618E,2,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
憧,U+61A7,5,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
憬,U+61AC,5,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
憾,U+61BE,35,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
懂,U+61C2,30,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
懒,U+61D2,21,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
懦,U+61E6,3,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
戈,U+6208,5,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
戏,U+620F,957,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
成,U+6210,2277,CN_ALREADY_COVERED,YES,NO,YES,YES,YES,YES
我,U+6211,9459,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
戒,U+6212,752,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
或,U+6216,1018,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
战,U+6218,5019,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
戚,U+621A,1,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
截,U+622A,216,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
戴,U+6234,27,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
户,U+6237,58,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
房,U+623F,726,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
所,U+6240,1646,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
扁,U+6241,7,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
扇,U+6247,15,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
手,U+624B,1972,CN_ALREADY_COVERED,YES,YES,YES,YES,YES,YES
才,U+624D,959,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
扎,U+624E,49,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
扑,U+6251,10,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
扒,U+6252,1,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
打,U+6253,710,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
扔,U+6254,20,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
托,U+6258,479,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
扛,U+625B,11,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
扣,U+6263,63,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
执,U+6267,667,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
扩,U+6269,83,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
扫,U+626B,116,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
扬,U+626C,2,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
扭,U+626D,14,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
扮,U+626E,13,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
扯,U+626F,4,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
扰,U+6270,142,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
扳,U+6273,3,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
批,U+6279,13,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
扼,U+627C,1,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
找,U+627E,875,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
承,U+627F,61,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
技,U+6280,393,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
抄,U+6284,2,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
抉,U+6289,5,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
把,U+628A,1220,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
抑,U+6291,130,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
抓,U+6293,149,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
投,U+6295,430,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
抖,U+6296,28,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
抗,U+6297,62,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
折,U+6298,6,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
抚,U+629A,2,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
抛,U+629B,35,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
抢,U+62A2,68,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
护,U+62A4,743,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
报,U+62A5,894,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
抬,U+62AC,2,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
抱,U+62B1,107,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
抵,U+62B5,116,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
抹,U+62B9,11,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
押,U+62BC,78,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
抽,U+62BD,63,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
拄,U+62C4,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
担,U+62C5,33,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
拆,U+62C6,49,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
拇,U+62C7,3,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
拉,U+62C9,610,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
拌,U+62CC,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
拍,U+62CD,276,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
拐,U+62D0,2,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
拒,U+62D2,31,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
拔,U+62D4,69,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
拖,U+62D6,34,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
拘,U+62D8,61,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
拙,U+62D9,16,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
招,U+62DB,498,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
拜,U+62DC,363,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
拟,U+62DF,148,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
拢,U+62E2,2,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
拣,U+62E3,27,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
拥,U+62E5,176,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
拦,U+62E6,79,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
拨,U+62E8,3,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
择,U+62E9,930,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
括,U+62EC,23,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
拯,U+62EF,7,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
拳,U+62F3,12,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
拷,U+62F7,75,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
拼,U+62FC,9,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
拾,U+62FE,9,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
拿,U+62FF,296,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
持,U+6301,444,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
挂,U+6302,58,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
指,U+6307,893,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
按,U+6309,2291,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
挑,U+6311,169,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
挖,U+6316,4,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
挚,U+631A,4,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
挞,U+631E,1,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
挟,U+631F,1,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
挠,U+6320,6,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
挡,U+6321,80,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
挣,U+6323,3,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
挤,U+6324,7,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
挥,U+6325,464,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
挨,U+6328,6,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
挫,U+632B,2,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
振,U+632F,51,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
挺,U+633A,208,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
挽,U+633D,3,JPN_RECOVERABLE,NO,NO,NO,YES,NO,NO
捉,U+6349,15,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
捏,U+634F,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
捕,U+6355,70,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
捞,U+635E,31,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
损,U+635F,294,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
捡,U+6361,6,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
换,U+6362,1212,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
据,U+636E,1765,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
捷,U+6377,10,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
捺,U+637A,4,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
掀,U+6380,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
掂,U+6382,1,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
授,U+6388,390,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
掉,U+6389,583,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
掌,U+638C,71,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
排,U+6392,246,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
掘,U+6398,165,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
掠,U+63A0,2,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
探,U+63A2,49,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
接,U+63A5,1010,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
控,U+63A7,730,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
推,U+63A8,183,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
掩,U+63A9,601,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
措,U+63AA,5,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
掰,U+63B0,5,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
掳,U+63B3,32,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
掷,U+63B7,125,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
掺,U+63BA,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
揍,U+63CD,3,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
描,U+63CF,13,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
提,U+63D0,1225,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
插,U+63D2,198,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
握,U+63E1,94,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
揪,U+63EA,87,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
揭,U+63ED,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
援,U+63F4,929,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
揽,U+63FD,1,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
搂,U+6402,1,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
搅,U+6405,3,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
搏,U+640F,4,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
搜,U+641C,483,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
搞,U+641E,72,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
搬,U+642C,62,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
搭,U+642D,309,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
携,U+643A,537,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
摄,U+6444,182,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
摆,U+6446,28,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
摇,U+6447,194,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
摊,U+644A,2,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
摔,U+6454,75,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
摘,U+6458,10,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
摧,U+6467,653,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
摩,U+6469,116,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
摸,U+6478,43,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
撑,U+6491,166,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
撒,U+6492,7,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
撕,U+6495,6,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
撞,U+649E,36,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
撤,U+64A4,83,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
撬,U+64AC,4,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
播,U+64AD,315,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
撰,U+64B0,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
撼,U+64BC,2,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
擅,U+64C5,37,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
操,U+64CD,667,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
擎,U+64CE,3,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
擒,U+64D2,2,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
擞,U+64DE,1,TRUE_NEW_GLYPH,NO,NO,NO,NO,NO,NO
擦,U+64E6,14,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
攀,U+6500,1,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
攒,U+6512,10,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
支,U+652F,642,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
收,U+6536,1996,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
改,U+6539,1469,CN_ALREADY_COVERED,YES,NO,NO,YES,YES,YES
攻,U+653B,1897,CN_ALREADY_COVERED,YES,YES,NO,YES,YES,YES
放,U+653E,1617,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
政,U+653F,113,CN_ALREADY_COVERED,NO,NO,YES,YES,YES,YES
故,U+6545,71,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
效,U+6548,1032,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
敌,U+654C,4806,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
敏,U+654F,30,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
救,U+6551,606,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
教,U+6559,576,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
敢,U+6562,22,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
散,U+6563,56,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
敬,U+656C,21,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
数,U+6570,3063,CN_ALREADY_COVERED,YES,NO,YES,YES,YES,YES
敲,U+6572,7,CN_ALREADY_COVERED,NO,NO,NO,NO,YES,YES
整,U+6574,171,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
敷,U+6577,2,CN_ALREADY_COVERED,NO,NO,NO,YES,YES,YES
